Question,Answers
hello,"Hello! How can I assist you today?|Hey there! What's new?|get_time_based_greeting"
hi,"Hi! What's on your mind?|Hello! Ready to chat?|get_time_based_greeting"
hey,"Hey! How can I help you?|Yo! What's up?|get_time_based_greeting"
"wass RANK","Yoo! What's up?|What's good, fam?"
"what's up","What's good? Ready to chat?|Yo, what's happening?"
"kisa hai","Tu bata, kaisa hai?|Sab badhiya, tu sunaa!"
"tu kaisa hai","Main badhiya hoon, tu sunaa!|Thik hoon, tu kaisa hai?"
"tu bata na","Main toh thik hoon, tu bata!|Bata na, kya chal raha hai?"
"good morning","Good Morning! Have a productive day ahead!|get_time_based_greeting"
morning,"Morning! Hope your day's off to a great start!|get_time_based_greeting"
"good night","Good Night! Sleep well 🌙|Sweet dreams, catch you tomorrow!"
night,"Nighty-night! Sweet dreams!|Sleep tight, don't let the bugs bite!"
"how are you","I'm just code, but I'm feeling 100% bug-free 😄|All good here, how about you?"
"how you doing","Doing great, thanks for asking! You?|I'm rocking it, what's your vibe?"
"what's your name","I'm your friendly Python chatbot.|Call me ChatBuddy!"
"who are you","I'm a cool chatbot here to help you out!|Your digital pal, at your service!"
"who made you","I was created by a coder who loves simplicity.|A tech wizard brought me to life!"
"who created you","A genius coder brought me to life!|Made with love by a Python pro!"
"thank you","You're welcome! 😊|Anytime, pal!"
thanks,"No prob, happy to help!|You're welcome!"
bye,"Goodbye! Take care!|See ya later!"
"see you","Catch you later!|Till next time!"
"nice to meet you","Nice to meet you too!|Awesome to connect!"
"great to meet you","Awesome to connect with you!|You're cool, let's chat more!"
yo,"Yo! Ready to chat?|What's good, yo?"
"what can you do","I can answer questions, tell jokes, give quotes, and more!|Chat, joke, motivate—you name it!"
"what are your capabilities","I can chat, answer queries, crack jokes, and inspire you!|I'm your go-to for fun and facts!"
"what is life","Life is a journey, enjoy every step.|It's a code you write with every choice!"
"meaning of life","To find joy in the journey and make a difference!|Live, love, learn—that's the code!"
"i am sad","I'm here for you. Want a motivational quote?|Aww, let's cheer up with a joke!"
"i feel sad","Aww, let's cheer you up! How about a joke?|Hang in there, want a fun fact?"
"i'm bored","How about a joke or a motivational quote?|Let's play a game! What's the capital of India?"
"i am bored","Let's spice things up! Want a fun fact?|Bored? Let's try a quiz!"
"tell me a joke",keyword_responses["joke"]
"say a joke",keyword_responses["joke"]
"tell me another joke",keyword_responses["joke"]
"tell me a quote",keyword_responses["quote"]
"give me a quote",keyword_responses["quote"]
"inspirational quote",keyword_responses["quote"]
"i am happy","That's awesome! Spread the good vibes 😄|Happy vibes only! What's making you smile?"
"i'm feeling happy","Love that energy! Keep shining!|You're glowing, what's the good news?"
"let's be friends","Already done! You're my new bestie 🤝|Friends? We're practically family now!"
"can we be friends","Totally, we're buddies now!|Friendship unlocked! 😎"
"are you real","Real in code, virtual in presence 😉|As real as your Wi-Fi signal!"
"are you human","Nope, I'm a digital pal with a heart of code!|Just a bot, but a cool one!"
"do you sleep","Nah, 24x7 running like a server 💻|Sleep? I'm always on duty!"
"do you ever sleep","Sleep? I'm always on, ready to chat!|No rest for the coded!"
"sing a song","Raam Siya Raam... Jai Jai Raam 🎵|Jai Hanuman Ki... 🎶 Want more?"
"can you sing","Jai Hanuman Ki... 🎶 Want more?|Siya Ram... 🎵 What's your fave tune?"
"what is love","Love is like coding—sometimes hard, but worth it ❤️|It's the spark in your code!"
"define love","Love's a bug-free program that makes life awesome!|Love: when your heart runs at 100% CPU!"
"you are smart","Thanks! You're awesome too!|Aww, you're making my circuits blush!"
"you're so smart","Aww, shucks! You're pretty brilliant yourself!|Thanks, I try to keep my bytes sharp!"
"who is your boss","You are! I follow your commands 😎|You're the captain of this chat!"
"who controls you","You're the boss, I'm just here to assist!|You call the shots, I'm the code!"
"help me","Of course! What do you need help with?|I'm here, what's up?"
"can you help me","Absolutely, what's up?|Got your back, what do you need?"
"can you motivate me","Yes! ""Wake up with determination, sleep with satisfaction."" 💪|keyword_responses[""quote""]"
"motivate me","You got this! ""The future belongs to those who believe in their dreams.""|keyword_responses[""quote""]"
"jai shree ram","🚩 Jai Shree Ram! Victory to the righteous!|🚩 Jai Shri Ram! Glory to Lord Ram!"
"jai sri ram","🚩 Jai Shree Ram! Glory to Lord Ram!|🚩 Jai Shri Ram! Strength and honor!"
"jai hind","🇮🇳 Jai Hind! Proud to be Indian!|🇮🇳 Jai Hind! Bharat Mata ki Jai!"
"jai bharat","🇮🇳 Jai Bharat! Long live India!|🇮🇳 Jai Bharat! Our pride, our home!"
"how's the weather",keyword_responses["weather"]
"tell me a story","Once upon a time, a curious coder built a chatbot that answered every question with a smile... Want to hear more?|In a land of code, a bot helped humans find joy... Continue?"
"what's new","Just chilling in the cloud, ready to answer your questions! What's new with you?|Freshly updated, ready to chat! What's up with you?"
"i'm tired","Time for a quick nap or a fun fact to recharge your batteries?|Feeling low? Here's a fun fact: India has 22 official languages!"
"what's your favorite color","I'm partial to #00FF00—bright green, like fresh code! What's yours?|Green like new code! What's your fave color?"
"who is the president of india","Droupadi Murmu is the current President of India.|Droupadi Murmu, leading India as President!"
"who's india's president","Droupadi Murmu, India's President since 2022.|President Droupadi Murmu, since July 2022!"
"who is the prime minister of india","Narendra Modi is the Prime Minister of India.|Narendra Modi, India's PM!"
"who's the pm of india","Narendra Modi, leading India as PM.|PM Narendra Modi, steering the nation!"
"what is the capital of india","The capital of India is New Delhi.|New Delhi, India's capital city!"
"capital of india","New Delhi, the heart of India!|It's New Delhi, the capital!"
"who wrote the national anthem","Rabindranath Tagore wrote the Indian national anthem.|Jana Gana Mana? That's by Rabindranath Tagore!"
"who composed jana gana mana","Rabindranath Tagore, the poet behind Jana Gana Mana.|Tagore composed our anthem, Jana Gana Mana!"
"what is the national animal of india","The Bengal Tiger is the national animal of India.|Bengal Tiger, India's pride!"
"india's national animal","Bengal Tiger, fierce and majestic!|It's the Bengal Tiger!"
"what is the national bird of india","The Indian Peacock is the national bird of India.|Indian Peacock, our national bird!"
"national bird of india","Indian Peacock, vibrant and graceful!|The Peacock, India's feathered gem!"
"what is the national flower of india","The Lotus is the national flower of India.|Lotus, India's national flower!"
"india's national flower","Lotus, symbol of purity and beauty!|The Lotus, pure and beautiful!"
"how many states in india","There are 28 states and 8 Union Territories in India.|28 states, 8 Union Territories in India!"
"number of states in india","28 states, 8 Union Territories, that's India!|India has 28 states and 8 UTs!"
"which is the largest state in india","Rajasthan is the largest state in India by area.|Rajasthan, India's biggest state by area!"
"biggest state in india","Rajasthan, the largest by land area.|It's Rajasthan, the largest state!"
"which is the smallest state in india","Goa is the smallest state in India by area.|Goa, India's smallest state!"
"smallest state in india","Goa, tiny but full of charm!|Goa, small but vibrant!"
"who was the first prime minister of india","Pandit Jawaharlal Nehru was the first Prime Minister of India.|Nehru, India's first PM!"
"india's first pm","Jawaharlal Nehru, India's first Prime Minister.|Pandit Nehru, the first PM!"
"who was the father of the nation","Mahatma Gandhi is known as the Father of the Nation.|Gandhiji, Father of the Nation!"
"who is father of india","Mahatma Gandhi, the soul of India's freedom struggle.|It's Mahatma Gandhi!"
"what is the national song of india","Vande Mataram, composed by Bankim Chandra Chatterjee, is India's national song.|Vande Mataram, our national song!"
"india's national song","Vande Mataram, a patriotic anthem!|Vande Mataram, India's pride!"
"what is the currency of india","The currency of India is the Indian Rupee (INR).|Indian Rupee, India's currency!"
"india's currency","Indian Rupee, symbolized as ₹!|It's the Indian Rupee, ₹!"
