Question,Answer
"What is –35 + 24?","-11"
"What is –18 – (–22)?","4"
"What is –6 × 9?","-54"
"What is –81 ÷ 9?","-9"
"What is (–12) × (–4)?","48"
"What is –13 + (–17)?","-30"
"What is (–20) ÷ (–5)?","4"
"What is –25 + 13?","-12"
"What is the result of –8 + 3 + 7?","2"
"What is –10 + 5 – 3?","2"
"What is 3/4 + 2/3 (in decimal)?","1.42"
"What is 7/8 – 1/4 (in decimal)?","0.625"
"What is 2/5 × 3/4 (in decimal)?","0.3"
"What is 4/5 ÷ 2/3 (in decimal)?","1.2"
"What is 0.75 as a fraction numerator/denominator (answer: 75)?","3/4"
"What is 2.5 + 3.75?","6.25"
"What is 1.2 × 0.5?","0.6"
"What is 6.8 – 2.4?","4.4"
"What is 5/6 ÷ 2 (in decimal)?","0.4167"
"What is 5.35 rounded to 1 decimal?","5.4"
"What is –2/3 + 1/6 (in decimal)?","-0.5"
"What is 5/4 – (–3/8) (in decimal)?","1.625"
"What is –3/5 × 2/7 (in decimal)?","-0.1714"
"What is 2/3 ÷ (–1/4) (in decimal)?","-2.667"
"What is –1/2 + 3/4 (in decimal)?","0.25"
"What is (–1/2 + 3/4) × 2 (in decimal)?","0.5"
"What is reciprocal of –3/5 (answer: -5/3)?","-5/3"
"What is –2 + 3/5 (in decimal)?","-1.4"
"What is (–3/8) ÷ (–1/2) (in decimal)?","0.75"
"What is 1/3 + 2/3?","1"
"What is value of 3x + 2 when x = 4?","14"
"What is value of 2(x – 3) + 4 when x = 5?","8"
"What is value of x² + 2x + 1 when x = 2?","9"
"What is x(x + 5) when x = 3?","24"
"What is value of x² – 2x + 1 when x = 4?","9"
"What is (x + 2)² when x = 1?","9"
"What is value of 2x + 3x – 5 when x = 2?","5"
"What is (x – 1)(x + 1) when x = 5?","24"
"What is 2x² when x = 6?","72"
"What is x³ when x = 3?","27"
"What is the sum of angles of a triangle?","180"
"What is the angle if other two are 60° and 80°?","40"
"How many degrees in a straight angle?","180"
"What is area of triangle with base 10cm and height 5cm?","25"
"What is area of square with side 4cm?","16"
"What is perimeter of square with side 5cm?","20"
"What is area of rectangle (l=6, b=4)?","24"
"What is the number of faces in a cube?","6"
"What is the number of edges in a cuboid?","12"
"How many vertices in a triangle?","3"
"What is mean of 10, 20, 30?","20"
"What is median of 1, 2, 3, 4, 5?","3"
"What is mode of 2, 2, 3, 4?","2"
"What is the range of 10, 30, 40, 20?","30"
"What is total of 5, 8, 6, 1?","20"
"How many outcomes in a dice throw?","6"
"How many outcomes in coin toss?","2"
"How many even numbers on dice?","3"
"If marks are 10, 20, 30, what is total?","60"
"How many odd numbers in [1,2,3,4,5,6]?","3"
"Solve: 2x + 3 = 11","4"
"Solve: 5x – 7 = 18","5"
"Solve: x/3 = 5","15"
"Solve: 3x + 4 = 2x + 10","6"
"Solve: 4(x – 2) = 20","7"
"Solve: x – 2 = 3","5"
"Solve: 2x = 14","7"
"Solve: 5x + 3 = 2x + 12","3"
"Solve: x/2 + 3 = 7","8"
"Solve: x + x = 20","10"
"Find area of rectangle: l = 6cm, b = 4cm","24"
"Perimeter of square with side 5cm","20"
"Area of triangle: b = 10cm, h = 6cm","30"
"Area of square: side = 11cm","121"
"Area of parallelogram: b = 8cm, h = 5cm","40"
"Perimeter of rectangle: l = 9cm, b = 6cm","30"
"Convert 100 cm² to m² (answer in decimal)","0.01"
"Convert 2m to cm","200"
"Area of circle with radius 7cm (π=22/7)","154"
"Circumference of circle with d = 14cm (π=22/7)","44"
"What is 10 × 10?","100"
"What is 100 ÷ 25?","4"
"What is square of 9?","81"
"What is cube of 3?","27"
"What is 2 + 3 × 4?","14"
"What is 5² + 2²?","29"
"What is LCM of 6 and 8?","24"
"What is HCF of 12 and 16?","4"
"What is 15% of 200?","30"
"What is 1/2 of 80?","40"
"What is –15 × (–3)?","45"
"What is 5/6 + 1/3 (in decimal)?","1.1667"
"What is 3/8 × 4/5 (in decimal)?","0.3"
"What is –7 + (–8)?","-15"
"What is 9.6 ÷ 1.2?","8"
"What is the value of 4x – 5 when x = 3?","7"
"What is the area of a circle with radius 3cm (π=3.14)?","28.26"
"What is the perimeter of a triangle with sides 3cm, 4cm, 5cm?","12"
"What is the square root of 16?","4"
"What is 20% of 150?","30"
"Solve: 3x – 9 = 6","5"
"What is the volume of a cube with side 3cm?","27"
"What is 2/3 of 90?","60"
"What is the median of 2, 4, 6, 8, 10?","6"
"What is the sum of angles in a quadrilateral?","360"
"What is 7.82 rounded to 1 decimal place?","7.8"
"What is (–2/5) × (–5/2) (in decimal)?","1"
"What is the circumference of a circle with radius 5cm (π=3.14)?","31.4"
"What is the range of 5, 15, 25, 35, 45?","40"
"What is the value of x² + 3 when x = 5?","28"
