Question,Answer
"What is the capital of India?","New Delhi"
"Who is the President of India in 2025?","Droupadi Murmu"
"Which planet is known as the Red Planet?","Mars"
"Who wrote the Indian national anthem?","Rabindranath Tagore"
"Which is the largest ocean in the world?","Pacific Ocean"
"Which Indian city is known as the 'Pink City'?","Jaipur"
"When did India gain independence?","15th August 1947"
"Who was the first Prime Minister of India?","Jawaharlal Nehru"
"Which gas do plants absorb from the atmosphere?","Carbon Dioxide"
"Which is the longest river in India?","Ganga (Ganges)"
